feature,temoin_moy,depression_moy,schizophrenie_moy,d_dep_vs_tem,d_sch_vs_tem,d_sch_vs_dep,auc_dep_vs_tem,auc_sch_vs_tem,auc_sch_vs_dep
longest_zero_run,49.598958333333336,51.6231884057971,76.2840909090909,0.05303260933258328,0.6612143457616024,0.5610613000363089,0.513936065821256,0.7740441524621212,0.7423693456302152
n_active_bouts,79.15885416666667,108.52898550724638,90.48106060606061,0.8072401566291917,0.38556553478103733,-0.46518660527953487,0.7552083333333334,0.5988843513257576,0.6745031840140536
activity_max,2952.09375,2408.246376811594,1980.6477272727273,-0.4868921554440811,-0.9170021321480739,-0.4283030031858769,0.674969806763285,0.7988330571338385,0.6512406675450153
night_activity_mean,62.176953125000004,47.68351449275362,32.297211700336696,-0.2047619993529972,-0.4197529111739438,-0.31689728113164245,0.5069302913647342,0.6540305397727273,0.6472194773825208
activity_std,404.57858957262323,293.3982632550678,239.3927403800869,-0.937466620370016,-1.5533950500446576,-0.5335736600287808,0.759963768115942,0.8927951388888888,0.6399731005709266
activity_p95,1116.5061197916664,779.1144927536232,636.6291666666665,-1.0539892470224852,-1.737797004239229,-0.49336163738983463,0.7782165232487923,0.9037198153409091,0.6256930720245938
intradaily_variability,0.9508588863706903,0.945725062075369,0.7908422546438483,-0.01377661393389321,-0.4599175500363224,-0.41979226743127446,0.5090957125603864,0.6374980271464646,0.6186594202898551
night_day_ratio,0.20649951025707147,0.31442452431681917,0.16555994983772673,0.23912782084705209,-0.11484847497463967,-0.38484701680070077,0.601345486111111,0.5115362610479799,0.6140618137900746
pct_zero_minutes,30.862087673611114,39.79820853462157,44.25662878787879,0.6595457511215249,1.2406244131118342,0.31009995245725525,0.7245527626811592,0.8297279434974747,0.5984985726833552
activity_center_hour,14.468040917845528,14.390073305132837,14.203246258335268,-0.0492964474782088,-0.19462107562721748,-0.1123291101584855,0.5178045742753623,0.5695134943181819,0.5735754281949934
activity_mean,282.98344184027775,181.4225845410628,154.04577546296295,-1.0560033869588026,-1.50958220522196,-0.3167481676693614,0.7789713541666666,0.8660580413510102,0.5722304567413263
m10,469.0513107638888,324.1191666666667,269.62080808080805,-0.84116599216627,-1.3753520397465568,-0.33580500297871785,0.7443198973429952,0.8483171559343434,0.5709815546772069
activity_cv,1.4824868653210252,1.8189905458405595,1.6548967735874132,0.8264454403942607,0.5901298464734848,-0.36491050412813536,0.7297139190821256,0.6678997001262625,0.5708717610891524
activity_median,113.42317708333333,46.505434782608695,42.15530303030303,-0.921838959206593,-0.9922689625625826,-0.0738628676718034,0.7798346920289855,0.7990155460858586,0.5374327514273166
l5_onset_hour,3.1380208333333335,5.2355072463768115,6.109848484848484,0.34662770011532884,0.4386631940313735,0.11477076165298213,0.6320812575483091,0.585873382260101,0.5301726504172156
l5,17.227456597222222,12.977065217391303,14.893535353535354,-0.19285623173055555,-0.09527513430630692,0.1238679639309155,0.542025211352657,0.573602233270202,0.5290953008344312
day_activity_mean,401.9748119212963,264.76586654589374,238.89054608585857,-0.8858254325604219,-1.191784953099022,-0.1808117470456644,0.7497924214975845,0.8121103614267677,0.5284090909090908
activity_iqr,405.5442708333333,249.3786231884058,221.48579545454547,-0.8977403840699726,-1.2065077843856138,-0.1744656242019786,0.7520899381038647,0.8117207228535354,0.5229399978041283
relative_amplitude,0.9264659727180052,0.9043467725208991,0.8866842670776273,-0.2501908761317699,-0.3867446230056801,-0.17313838905684362,0.6229242149758454,0.6160728377525252,0.5176081466842337
